+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
| plant_id |                  scientific_name                  |        common_name        |  plant_family   |     plant_type      |                                sunlight_list                                |        cycle         | watering | maintenance | pruning_frequency | toxic_to_pets |
|   1197   |        Begonia boliviensis BOSSA NOVA RED         |          begonia          |   Begoniaceae   |       Begonia       |                     ["full sun","part sun/part shade"]                      | Herbaceous Perennial | Average  |  Moderate   |  2 time per year  |       0       |
|   1198   |               Begonia 'Canary Wing'               |          begonia          |   Begoniaceae   |       Begonia       |                               ["part shade"]                                | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1199   |                 Begonia 'Casper'                  |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1200   |             Begonia 'Curly Fireflush'             |          begonia          |   Begoniaceae   |       Begonia       |                          ["part shade","full sun"]                          | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1201   |             Begonia 'Dangling Pearls'             |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1202   |              Begonia 'Emerald Glow'               |          begonia          |   Begoniaceae   |       Begonia       |                         ["part shade","full shade"]                         | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1203   |                Begonia FUNKY PINK                 |  hybrid tuberous begonia  |   Begoniaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |    High     |                   |       0       |
|   1208   |               Begonia 'Green Gold'                |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1209   |                 Begonia 'Gryphon'                 |          begonia          |   Begoniaceae   |       Begonia       |                     ["part sun/part shade","full sun"]                      | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1210   |               Begonia 'Lime Royale'               |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |  1 time per year  |       0       |
|   1211   |             Begonia 'Martha Stewart'              |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1212   |                 Begonia masoniana                 |    iron cross begonia     |   Begoniaceae   |        Herb         |                  ["part sun/part shade","filtered shade"]                   | Herbaceous Perennial | Average  |  Moderate   |  1 time per year  |       0       |
|   1213   |               Begonia 'Penny Lahn'                |          begonia          |   Begoniaceae   |       Begonia       |                         ["part shade","full shade"]                         | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1214   |               Begonia rex-cultorum                |        rex begonia        |   Begoniaceae   |        Shrub        |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |    High     |                   |       0       |
|   1215   |         Begonia rex-cultorum 'Super Curl'         |        rex begonia        |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1216   |               Begonia 'River Nile'                |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1217   |      Begonia (Semperflorens Cultorum Group)       |          begonia          |   Begoniaceae   |       Flower        |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |     Low     |  1 time per year  |       0       |
|   1218   |     Begonia semperflorens 'Senator Deep Rose'     |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1219   | Begonia semperflorens-cultorum 'Harmony Scarlet'  |        wax begonia        |   Begoniaceae   |       Flower        |                       ["part shade","filtered shade"]                       | Herbaceous Perennial | Average  |  Moderate   |  1 time per year  |       0       |
|   1220   |                 Begonia 'Sinbad'                  |     angelwing begonia     |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Frequent |  Moderate   |                   |       0       |
|   1221   |               Begonia 'Solar Flare'               |          begonia          |   Begoniaceae   |       Begonia       |                  ["part sun/part shade","filtered shade"]                   | Herbaceous Perennial | Average  |  Moderate   |  1 time per year  |       0       |
|   1222   |                 Begonia 'Sophia'                  |     angelwing begonia     |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1223   |    Begonia tuberhybrida 'Jurassic Pink Splash'    |  hybrid tuberous begonia  |   Begoniaceae   |       Begonia       |                               ["part shade"]                                | Herbaceous Perennial | Minimum  |  Moderate   |                   |       0       |
|   1224   |   Begonia tuberhybrida 'Jurassic Silver Swirl'    |  hybrid tuberous begonia  |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1225   |      Begonia tuberosa 'Fortune Peach Shades'      |          begonia          |   Begoniaceae   |       Begonia       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |  1 time per year  |       0       |
